taxa,prop_generalist,n_host_families,n_host_species
Epitymbia,0,2,2
Eporectis,0,1,1
Eracon,0,1,1
Erannis,0.6,38,109
Erasmia,1,3,3
Erastria,0.2,6,8
Erastroides,0.5,4,4
Ercheia,0.6666666666666666,6,5
Ercta,0,1,1
Ercta Vittata,0,1,1
Erebia,0.7058823529411765,40,109
Ereboenis,0,1,1
Erebomorpha,0,1,1
Erebus,0.4,7,9
Erechthias,0.3783783783783784,86,106
Erechthias?,1,2,2
Erelieva,1,2,2
Eremberga,0,1,1
Eremobia,1,1,4
Eremobina,0,1,1
Eremophysa,0,2,2
Eresia,0.5,6,10
Eresina,0,7,7
Eresinopsides,0,1,1
Eretis,0.6666666666666666,3,10
Eretmocera,0.1,17,20
Eretmopus,0.2,6,6
Ericeia,0.4,11,22
Ericodesma,0,1,1
Erikssonia,0,1,1
Erinnyis,0.8571428571428571,28,65
Erinothus,1,1,2
Eriocrania,0.375,9,13
Eriocraniella,0.6,5,12
Eriogaster,0.5,12,29
Eriogyna,1,7,10
Eriogyna Pyretorum,0,10,7
Erionota,1,8,26
Eriopsela,1,2,2
Eriopygodes,1,3,2
Eristena,0,1,1
Erizada,1,2,2
Ernolatia,1,1,3
Eronia,1,4,4
Erora,1,6,7
Erschoviella,1,2,2
Ertzica,1,2,2
Erygia,0.5,3,5
Erygia Apicalis,0,4,2
Erygia Reflectifascia,0,1,1
Erynnis,0.9411764705882353,31,146
Eryphanis,0.5,2,4
Erysichton,0,4,2
Esakiopteryx,1,1,6
Esakiozephyrus,0,1,1
Etainia,0,1,1
Etanna,0,1,1
Eteobalea,0,3,3
Eteoryctis,0.5,3,8
Eterusia,0.5,4,4
Ethelgoda,1,1,3
Ethelontides,0,1,1
Ethmiopsis,1,1,2
Etiella,0.8,17,61
Euagrotis,1,2,2
Euaspa,0.5,2,4
Eubaphe,0.5,4,5
Eubarnesia,0,1,1
Eubergia,1,4,4
Eublemma,0.42857142857142855,61,93
Eublemmistis,1,3,2
Eublemmoides,0.3333333333333333,3,4
Eucalantica,0,1,1
Eucalliathla,1,1,2
Eucalybites,0,1,1
Eucarta,1,1,2
Eucatagma,1,1,2
Eucaterva,0,1,1
Euceratia,0,1,1
Euchalcia,1,2,5
Eucheira,0,1,1
Euchlaena,0.8333333333333334,61,83
Euchlaena Amoenaria,0,1,1
Euchlaena Effecta,0,11,7
Euchlaena Irraria,0,8,8
Euchlaena Johnsonaria,0,15,10
Euchlaena Madusaria,0,4,3
Euchlaena Marginaria,0,13,9
Euchlaena Mollisaria,0,9,4
Euchlaena Muzaria,0,1,1
Euchlaena Obtusaria,0,5,3
Euchlaena Pectinaria,0,7,4
Euchlaena Serrata,0,8,4
Euchlaena Tigrinaria,0,9,7
Euchloe,1,8,62
Euchloron,1,1,4
Euchoeca,1,1,2
Euchristophia,1,1,3
Euchromius,0.3333333333333333,4,4
Euchromius Bella,0,1,1
Euchromius Californicalis,0,1,1
Euchromius Ocellea,0,2,2
Euchrysops,0.6666666666666666,26,63
Euchrysops?,0,1,1
Eucirroedia,1,3,4
Euclasta,0,2,2
Euclea,0.75,15,24
Euclemensia,0.5,2,3
Euclidia,0.6666666666666666,9,15
Eucoenogenes,0.3333333333333333,3,4
Eucosma,0.2839506172839506,88,128
Eucosmomorpha,0,1,1
Eucosmophora,0,1,1
Eucraera,0.5,6,7
Eucrostes,0,1,1
Eucrotala,0,1,1
Eucyclodes,0.16666666666666666,7,7
Eudaemonia,0,2,2
Eudalaca,0,1,1
Eudarcia,0.3333333333333333,13,14
Eudeilinia,1,1,3
Eudemis,0.5,4,9
Eudemopsis,0.5,4,5
Eudesmeola,0,1,1
Eudocima,0.6923076923076923,46,81
Eudonia,0.09090909090909091,12,12
Eudrepanulatrix,0,1,1
Eudryas,1,12,18
Eudyaria,1,3,7
Eueana,1,1,2
Eueana Niveociliaria,0,2,1
Eueides,0.7777777777777778,11,58
Eueretagrotis,1,9,12
Euexia,1,1,2
Eufidonia,0.6666666666666666,9,31
Eugivira,0,1,1
Euglyphis,0.3333333333333333,15,17
Eugnorisma,0.6666666666666666,10,11
Eugnosta,0,1,1
Eugraphe,1,7,8
Euhyponomeuta,1,1,2
Euhyponomeutoides,1,3,8
Euhyposmocoma,0.5,2,3
Eulaceura,0,1,1
Eulamprotes,0.25,5,5
Euleioptilus,1,2,4
Eulepidotis,0,3,3
Eulepte,1,2,6
Eulia,0.6666666666666666,9,14
Euliphyra,0,2,2
Eulithis,0.8571428571428571,39,69
Eulocastra,0,2,2
Eulogia,1,3,3
Eulophonotus,1,7,10
Euloxia,0.3333333333333333,3,4
Eulycia,0,1,1
Eulymnia,0,1,1
Eumacaria,1,1,5
Eumaeus,0.5,8,8
Eumarozia,0.5,3,3
Eumasia,0,3,2
Eumedonia,0,1,1
Eumelea,0.3333333333333333,4,5
Eumenodora,0,1,1
Eumestleta,0,1,1
Eumeta,0.8,95,143
Eumetisa,0,1,1
Eumichtis,0,1,1
Eumorpha,1,18,52
Eunebristis,1,1,2
Eunica,0.25,5,5
Eupackardia,1,10,20
Eupanacra,0.25,5,11
Euparthenos,1,3,3
Euperissus,0,1,1
Euperissus Catapyrrha,0,1,1
Euphaedra,0.38095238095238093,24,44
Euphalacra,0,1,1
Euphalacra Semisecta,0,1,1
Euphaneta,1,1,2
Euphilotes,0.8,5,56
Euphlycta,0,1,1
Euphydryas,1,21,93
Euphyes,0.7142857142857143,8,20
Euphyia,0.6666666666666666,10,12
Eupithecia,0.6976744186046512,303,639
Euplexia,0.6666666666666666,26,31
Euploea,0.6666666666666666,46,142
Eupneusta,0,1,1
Eupoecilia,0.4,17,21
Euproctis,0.5,3,5
Euproserpinus,0.5,3,5
Euprosterna,1,2,2
Euproutia,0,1,1
Eupselia,0.3333333333333333,3,4
Eupsilia,0.8181818181818182,50,94
Euptera,0.2857142857142857,7,10
Eupterote,0.6,52,68
Euptoieta,1,14,28
Euptychia,0.29411764705882354,17,27
Eupyrrhoglossum,1,1,3
Eurema,0.7222222222222222,94,275
Eurhodope,0,1,1
Euriphene,0.5,3,3
Euriphene Achlys,0,2,2
Euriphene Plautilla,0,1,1
Euripus,1,3,4
Eurodryas,1,13,31
Eurois,1,23,34
Europlema,0,2,2
Europtera,0,1,1
Eurrhypara,1,4,6
Eurrhyparodes,0,1,1
Eurybia,0,1,1
Eurydoxa,1,1,2
Eurynola,0,1,1
Eurysacca,0.5,3,3
Eurytaphria,0,1,1
Eurytela,0.6666666666666666,6,16
Eusabena,0,1,1
Eusarca,0.5,5,6
Euscirrhopterus,0.75,5,9
Euselasia,0.6,6,11
Eustalodes,0,2,2
Eustixia,1,2,3
Eustroma,0,3,3
Eustrotia,0,3,2
Eutachyptera,0,1,1
Eutelia,0.5,21,35
Euthalia,0.5882352941176471,26,43
Euthaliopsis,0,1,1
Euthecta,0,1,1
Euthrix,0.4,8,14
Euthyatira,1,2,5
Eutrapela,1,15,25
Eutrepsia,1,2,2
Eutrichopidia,1,2,2
Eutricopis,0,1,1
Eutychide,1,2,4
Euwallengrenia,0.5,3,4
Euxanthe,1,8,16
Euxanthis,0,1,1
Euxoa,0.576271186440678,205,278
Euzophera,0.6470588235294118,48,72
Euzopherodes,0.5,6,7
Euzopherodes Dendrophaga,0,1,1
Euzopherodes Ephestialis,0,3,2
Euzopherodes Lutisignella,0,1,1
Euzopherodes Vapidella,0,3,2
Euzopheroides,0,1,1
Evenus,0.3333333333333333,3,6
Everes,0.4444444444444444,13,64
Evergestis,0.5555555555555556,10,23
Evetria,0,1,1
Evippe,0.5714285714285714,7,16
Evora,1,2,3
Exangerona,1,2,2
Exapate,1,8,15
Exartema,0.5,2,3
Exelastis,0.3333333333333333,11,20
Exelis,1,3,4
Exophyla,0,3,3
Exoteleia,0.6666666666666666,7,25
Exsula,0,1,1
Exyra,0.75,4,11
Fabriciana,0.75,5,13
Facidina,0,1,1
Fagitana,1,3,3
Falana,1,2,2
Falcaria,1,1,4
Falcatula,1,3,4
Falseuncaria,1,6,9
Famegana,1,2,2
Faristenia,0,7,7
Faronta,0.8,11,52
Fascellina,0.75,4,13
Fascista,0,1,1
Faunis,0.6666666666666666,7,9
Favonius,1,10,67
Felinia,0.5,2,3
Feliniopsis,0.5,6,6
Feltia,0.6666666666666666,19,41
Feniseca,1,2,11
Feralia,0.6666666666666666,10,36
Feredayia,0,3,3
Fernaldia,0,1,1
Filatima,0.45454545454545453,24,39
Filodes,0,2,2
Fishia,0.6666666666666666,11,14
Fissicrambus,1,2,8
Fixsenia,0.875,12,31
Flammona,0,1,1
Flos,0.8,6,13
Fodina,0.25,6,8
Fomoria,0,2,2
Forbestra,0,1,1
Fountainea,0.4,6,7
Framinghamia,1,1,2
Fraus,0,1,1
Frechinia,0,1,1
Fresna,0.3333333333333333,3,4
Freyeria,1,4,10
Friedlanderia,0,1,1
Friseria,0,2,2
Frumenta,0,2,2
Fulgurodes,1,6,6
Fulvoclysia,0,1,1
Fumibotys,0,1,1
Fundella,1,9,35
Fuscoptilia,0,1,1
Gabala,0,2,2
Gabara,0.3333333333333333,3,4
Gabriola,1,1,11
Gadessa,1,5,5
Gadira,0,1,1
Gaeides,1,4,16
Galactica,0,1,1
Galenara,1,2,3
Galgula,0,1,1
Galleria,1,2,2
Gamelia,1,3,3
Gamia,1,2,8
Gandaca,0.5,2,3
Gangara,1,6,25
Ganisa,1,1,4
Ganyra,1,1,3
Gaphara,0,1,1
Garaeus,0.6666666666666666,10,12
Garella,1,3,3
Gastridiota,0,1,1
Gastropacha,0.5,18,26
Gastrophora,1,1,2
Gastroplakaeis,0.5,4,6
Gatesclarkeana,1,25,27
Gathynia,0,1,1
Gauna,0,1,1
Gazoryctra,1,4,4
Gazoryctra Wielgusi,0,4,4
Gegenes,1,4,14
Geina,0.3333333333333333,8,17
Geitoneura,1,2,6
Gelasma,0.5714285714285714,9,14
Gelechia,0.30303030303030304,38,48
Gellonia,1,1,3
Genduara,1,4,5
Genopaschia,0,1,1
Genophantis,1,2,6
Genus?,0,1,1
Geometra,0.6666666666666666,11,15
Gerbathodes,0,1,1
Gerontha,1,5,5
Gerosis,0.3333333333333333,3,5
Gerra,1,1,2
Gesonia,1,3,2
Gesta,1,3,5
Ghesquierellana,1,2,3
Giacomellia,0,2,2
Giaura,0.2,6,9
Gibberifera,1,1,2
Gibbovalva,0.6,6,22
Gideona,0,1,1
Gigantalcis,0,1,1
Gillmeria,1,1,4
Gisilia,0.5,2,5
Givira,0,1,1
Glacies,0,1,1
Gladiovalva,0,1,1
Glanycus,1,6,6
Glaphyria,0,2,2
Glaucolepis,0,1,1
Glaucopsyche,0.625,10,56
Glena,0.5714285714285714,14,18
Gloveria,0.8,12,17
Glycerophthora,0,1,1
Glyphidocera,0,3,3
Glyphipterix,0.11764705882352941,17,20
Glyphodes,0.43478260869565216,33,60
Glyptocera,1,2,3
Glyptoteles,1,2,2
Gnamptonyx,0,1,1
Gnathifera,0,2,2
Gnathmocerodes,0.5,3,3
Gnathothlibus,1,6,13
Gnophodes,0.5,2,3
Gnophos,1,5,5
Gnorimoschema,0.5454545454545454,26,46
Gnorismoneura,0,1,1
Godartiana,0,1,1
Goditha,0,1,1
Godonela,1,8,13
Godyris,1,1,2
Gogana,0.3333333333333333,3,4
Gomalia,1,1,3
Gonepatica,0,1,1
Gonepteryx,0.75,6,12
Gonerilia,0,1,1
Gonimbrasia,0.8571428571428571,42,73
Goniocalpe,1,1,2
Goniocraspidum,1,1,3
Goniodoma,0.3333333333333333,3,4
Goniotorna,0,1,1
Gonobombyx,1,2,3
Gonodonta,0.5833333333333334,23,32
Gonodontis,1,12,13
Gonometa,0.8333333333333334,20,32
Gonoreta,0,1,1
Goodia,0.6,11,15
Gorgopis,0,1,1
Gorgopis Libania,0,1,1
Gorgyra,0,3,3
Gorgyra Bibulus,0,2,1
Gorgyra Diva,0,2,1
Gorgyra Johnstoni,0,1,1
Gortyna,0.75,12,23
Gracilodes,0.5,2,3
Graellsia,1,1,2
Grais,0,1,1
Grammodes,0.8,22,28
Grammodora,1,3,4
Graphania,0.16666666666666666,8,10
Graphiocephala,0,1,1
Graphiphora,1,9,15
Grapholita,0.36363636363636365,46,86
Gravitarmata,1,2,4
Greta,0.3333333333333333,3,4
Gretchena,0.2857142857142857,8,10
Gretna,0.5,2,4
Greya,0.5,12,29
Griselda,0.3333333333333333,4,19
Griseothosea,1,4,4
Guastica,0,1,1
Gueneria,1,2,2
Gunda,0.5,2,3
Gymnancyla,0,3,3
Gymnelema,0,1,1
Gymnoscelis,0.6875,50,58
Gynanisa,0.75,11,22
Gynnidomorpha,0.6666666666666666,6,7
Gypsochares,0,2,2
Gypsonoma,0.6923076923076923,20,31
Gyrtothripa,0.25,5,5
Habrodais,0.5,2,5
Habrosyne,0.6666666666666666,6,15
Hada,0.5,5,8
Hadena,0.6666666666666666,22,59
Hadjina,0,2,2
Hadraphe,0,1,1
Haematopis,1,3,6
Haemerosia,1,1,2
Hahncappsia,0.5,4,4
Haliophyle,1,2,2
Halpe,0.16666666666666666,6,7
Halseyia,0.3333333333333333,6,6
Halysidota,0.5714285714285714,32,76
Halysidota Catenulata,0,1,1
Halysidota Cinctipes,0,7,3
Halysidota Harrisii,0,4,3
Halysidota Harrisii?,0,1,1
Halysidota Interlineata,0,2,2
Halysidota Schausi,0,1,1
Halysidota Tessellaris,0,75,21
Hamadryas,0.5454545454545454,15,29
Hamanumida,1,3,5
Hamearis,1,1,2
Hammaptera,1,2,3
Hamodes,1,1,2
Haploceros,0,1,1
Haplopacha,0,1,1
Haplotinea,1,6,7
Harita,0,1,1
Haritalodes,1,11,36
Haritalopha,0,1,1
Harkenclenus,1,1,7
Harma,1,2,4
Harmaclona,1,2,2
Harmologa,0.5,4,4
Harpagidia,1,1,2
Harpendyreus,0.25,5,6
Harrisimemna,1,11,18
Harrisina,0.8,7,13
Hasora,0.8333333333333334,11,23
Hastula,0,1,1
Hayarotis,0,1,1
Hebomoia,1,2,15
Hecatera,0.6666666666666666,3,5
Hecatesia,0,1,1
Hedma,1,2,4
Hednota,0.8571428571428571,9,20
Hedraea,0,1,1
Hedya,0.625,30,66
Helcyra,0,1,1
Helcystogramma,0.5,30,58
Heleanna,0.3333333333333333,4,4
Heliangara,0,2,2
Helias,0,1,1
Heliconisa,1,2,3
Heliconisa Pagenstecheri,0,3,2
Heliconius,0.6944444444444444,36,226
Helicoverpa,0.625,98,249
Heliocheilus,1,3,5
Heliocosma,0,1,1
Heliodines,0.4117647058823529,17,27
Heliolonche,0.4,5,7
Heliomata,1,2,2
Heliomystis,0,1,1
Heliomystis Electrica,0,1,1
Heliopetes,0.8,7,31
Heliophisma,0.5,3,3
Heliophobus,0.5,5,11
Heliophorus,0.8,6,10
Heliothea,0,1,1
Heliothis,0.7894736842105263,87,166
Heliothodes,1,1,2
Heliozela,0.1,10,11
Hellinsia,0.5384615384615384,18,27
Hellula,0.6666666666666666,12,35
Helvibotys,1,2,2
Hemaris,1,13,48
Hemeroblemma,0,2,2
Hemerophila,0.5,2,3
Hemiargus,0.8,17,52
Hemicephalis,1,1,2
Hemichloreis,0,1,1
Hemieuxoa,0.5,3,3
Hemigraphiphora,1,6,8
Hemileuca,0.9545454545454546,99,272
Heminomistis,1,1,2
Hemiolaus,0,1,1
Hemipachnobia,1,4,5
Hemiscopis,0,2,2
Hemistola,0.2,5,8
Hemithea,0.7142857142857143,39,61
Hendecaneura,1,2,2
Hendecasis,1,6,6
Heniocha,0,1,1
Henometa,1,2,2
Henotesia,1,3,6
Henricus,0.25,4,6
Heodes,0,1,1
Heortia,0,1,1
Hepialiscus,0,1,1
Hepialus,1,16,23
Heraclia,0.3333333333333333,5,6
Herculia,0.25,5,6
Herdonia,0,2,2
Hermelycaena,0,1,1
Hermeuptychia,0.3333333333333333,3,11
Herminia,1,11,12
Herochroma,0,1,1
Herochroma Sp.,0,1,1
Herona,0,1,1
Herpetogramma,0.6470588235294118,59,96
Herpystis,0,1,1
Hespagarista,1,1,2
Hesperia,1,22,86
Hesperia Attalus,0,3,1
Hesperia Columbia,0,3,1
Hesperia Comma,0,15,2
Hesperia Dacotae,0,7,2
Hesperia Juba,0,4,1
Hesperia Leonardus,0,13,1
Hesperia Lindseyi,0,3,1
Hesperia Meskei,0,2,1
Hesperia Metea,0,3,1
Hesperia Miriamae,0,2,1
Hesperia Nevada,0,5,2
Hesperia Ottoe,0,10,2
Hesperia Pahaska,0,2,1
Hesperia Sassacus,0,5,1
Hesperia Uncas,0,5,1
Hesperia Viridis,0,5,1
Hesperia Woodgatei,0,2,2
Hesperocharis,0.5,4,7
Hesperopsis,0.3333333333333333,3,6
Hesperumia,0.25,12,26
Hestina,0.6666666666666666,3,8
Hestina Assimilis,0,6,1
Hestina Japonica,0,3,1
Hestina Nama,0,1,1
Hestiochora,0.5,2,3
Heteranassa,0,1,1
Heterarmia,1,3,5
Heterocrasa,0,1,1
Heterogenea,1,8,13
Heterolocha,0.6666666666666666,3,5
Heteromicta,0,1,1
Heteronympha,0.6666666666666666,8,12
Heteropacha,0,1,1
Heteropalpia,0,1,1
Heteropan,1,2,2
Heterophleps,0,2,2
Heteropterus,1,1,3
Heteroptila,0,1,1
Heterosais,1,1,2
Heterosmaitia,0,1,1
Heterostegane,0.3333333333333333,3,4
Heterotactis,0,1,1
Hethemia,1,4,7
Heuretes,1,4,4
Hewitsonia,0,6,6
Hexeris,0,1,1
Hexorthodes,0.25,5,5
Heylaertsia,1,2,2
Hiccoda,0.5,2,3
Hidari,1,2,9
Hidripa,0,1,1
Hilarographa,0,1,1
Hillia,0,2,2
Himella,1,5,9
Hindothosea,1,5,5
Hipoepa,1,3,3
Hipparchia,0.6666666666666666,10,51
Hippotion,0.75,67,115
Hirasa,1,1,2
Histia,1,2,3
Historis,1,6,6
Hodgesiella,0,1,1
Holcocerus,1,2,2
Holocerina,0.75,22,28
Holocryptis,0,1,1
Holophysis,0.5,4,4
Homadaula,1,5,7
Homaledra,0.5,3,19
Homochlodes,0,2,2
Homodes,0.625,25,27
Homoeopteryx,0,1,1
Homoeosoma,0.3684210526315789,27,68
Homoglaea,0.75,8,16
Homohadena,0.25,8,10
Homona,0.6956521739130435,121,175
Homona?,0,1,1
Homoncocnemis,0,2,2
Homonopsis,0.6666666666666666,11,20
Homophlebia,0,1,1
Homophoberia,1,3,3
Homophylotis,0.75,6,8
Homorthodes,0.4,9,11
Homosaces,0,4,4
Homosetia,0,1,1
Honora,0,1,1
Hoplisa,0,1,1
Hoplitendemis,0,1,1
Hoplodrina,0.6666666666666666,18,19
Hoplojana,0,1,1
Hoplotarache,0,4,4
Horaga,1,6,7
Horisme,0.4,7,8
Horithyatira,0,1,1
Hoyosia,0,1,1
Hulodes,0.5,5,6
Hulstia,1,2,2
Hulstina,0,1,1
Humiphila,1,1,3
Hyalarcta,0.75,14,25
Hyalobathra,0.75,5,7
Hyalophora,1,79,295
Hyalorista,0.5,2,3
Hyalornis,0,1,1
Hyaloscotes,0,1,1
Hyalospila,1,2,3
Hyalotharus,0,1,1
Hyalothyrus,0,1,1
Hyalyris,0,1,1
Hyarotis,1,1,4
Hyblaea,0.625,24,73
Hydraecia,0.3333333333333333,24,37
Hydrelia,0.75,10,13
Hydria,1,9,12
Hydrillodes,0.125,8,9
Hydriomena,0.5294117647058824,31,61
Hydriris,0.5,5,7
Hydroclada,0,2,2
Hydrorybina,0,1,1
Hyladaula,0.5,3,3
Hylaea,1,1,4
Hylephila,1,1,16
Hyles,0.9090909090909091,83,156
Hylesia,0.6111111111111112,76,107
Hyllolycaena,1,1,6
Hyloconis,0.25,4,5
Hyloicus,1,1,2
Hylonycta,0,2,2
Hylophilodes,0,1,1
Hymenia,0.5,11,17
Hymenomima,0,2,2
Hymenoptychis,1,3,3
Hypaedalea,0,1,1
Hypagyrtis,0.6666666666666666,20,45
Hypanartia,0.6666666666666666,5,5
Hypanua,1,1,2
Hypargyria,0.5,3,5
Hypatima,0.5384615384615384,43,54
Hypaurotis,0,1,1
Hypelictis,0,1,1
Hypena,0.45652173913043476,77,117
Hypenodes,0,1,1
Hypenomorpha,0,1,1
Hyperapeira,0,1,1
Hyperchiria,1,21,30
Hyperlais,0,1,1
Hyperstrotia,0.75,5,7
Hypersypnoides,0.5,2,3
Hypertropha,1,1,2
Hyperythra,0,1,1
Hyphorma,1,5,6
Hyphormides,0,1,1
Hypna,0.5,2,3
Hypobapta,0,1,1
Hypocala,0.4444444444444444,25,39
Hypochalcia,1,2,2
Hypochlorosis,0,1,1
Hypochrosis,0,1,1
Hypochrysops,0.09090909090909091,57,25
Hypocysta,0.25,4,5
Hypodoxa,0,2,2
Hypodryas,0.75,15,22
Hypographa,0.5,2,3
Hypokopelates,0,1,1
Hypolamprus,0.3333333333333333,5,5
Hypoleria,0,2,2
Hypolimnas,0.9230769230769231,41,105
Hypolycaena,0.2727272727272727,48,50
Hypomecis,0.5833333333333334,38,54
Hypomenitis,1,1,3
Hyponephele,0.3333333333333333,3,4
Hyponeuma,0,1,1
Hypophrictis,0,2,2
Hypopteridia,0,1,1
Hypopyra,0.2,6,6
Hyposcada,1,1,3
Hyposidra,1,47,73
Hyposmocoma,0.21428571428571427,74,77
Hypospila,0,1,1
Hypostrotia,0,1,1
Hypostrymon,0,1,1
Hypotacha,0,2,2
Hypothyris,0.3333333333333333,3,4
Hypotia,0.4,6,8
Hypotrisula,0,1,1
Hypoxystis,1,2,2
Hyppa,0.75,17,22
Hypsipyla,1,19,66
Hypsochila,0,1,1
Hypsopygia,1,8,9
Hypsoropha,0.5,4,4
Hypsotropa,0.5,2,3
Hysterophora,1,2,2
Hysterosia,0.5,4,4
Hystrichophora,0,1,1
Hystrichoscelus,1,1,2
Hystrichoscelus Spathanum,0,2,1
Iambia,0,3,3
Iambrix,0,2,2
Iaspis,0,1,1
Icelita,0,1,1
Ichneutica,0,1,1
Idaea,0.5217391304347826,51,53
Idalus,0.25,4,6
Idalus Agastus,0,1,1
Idalus Critheis,0,4,1
Idalus Herois,0,1,1
Idalus Nr. Sublineata,0,1,1
Idea,0.42857142857142855,10,12
Ideopsis,0.5,6,9
Idia,0.3333333333333333,16,15
Idiobrotis,0,1,1
Idiochlora,0,3,3
Idiodes,0,2,2
Idiophantis,0.5,7,10
Idiotephria,1,1,2
Idonauton,1,3,5
Illiberis,0.3333333333333333,4,5
Imbophorus,0,1,1
Imbrasia,0.9354838709677419,152,221
Imma,0.125,23,23
Immyrla,0,1,1
Inachis,1,2,6
Incarcha,0,1,1
Incisalia,1,28,82
Incurvaria,0.45454545454545453,15,20
Indomyrlaea,1,1,3
Infurcitinea,1,1,2
Inurois,0.8333333333333334,11,18
Iolana,0.3333333333333333,4,5
Iolaus,0.8545454545454545,62,123
Ipidecla,0,3,3
Ipimorpha,0.3333333333333333,8,16
Iragoides,0,1,1
Iraota,0.5,3,6
Iratsume,1,2,8
Irazona,0,1,1
Iridana,0,2,2
Iridopsis,0.75,18,24
Iridostoma,0,1,1
Isa,1,7,8
Iscadia,0.4,6,7
Iscalina,0,3,3
Ischalis,0.5,6,6
Ischnangela,0,1,1
Ischnurges,0,1,1
Ischyja,1,12,16
Isidiella,0,1,1
Isidiella Divitella,0,1,1
Isma,0,1,1
Isocentris,0,1,1
Isoceras,0,1,1
Isochaetes,0,1,1
Isochorista,0,2,2
Isodemis,1,3,3
Isognathus,0.8333333333333334,6,13
Isoparce,1,3,3
Isophrictis,0.3333333333333333,7,11
Isorrhoa,0,1,1
Isospidia,0,1,1
Isoteinon,1,1,5
Isotenes,0.5,16,25
Isotrias,0.5,3,3
Issoria,0.2,7,10
Istrianis,0,4,4
Itame,0.64,56,108
Itame Abruptata,0,1,1
Itame Anataria,0,10,3
Itame Andersoni,0,1,1
Itame Argillacearia,0,2,1
Itame Bitactata,0,4,2
Itame Brunneata,0,8,4
Itame Colata,0,1,1
Itame Coortaria,0,8,2
Itame Decorata,0,1,1
Itame Evagaria,0,2,2
Itame Exauspicata,0,23,8
Itame Extemporata,0,1,1
Itame Flavicaria,0,2,1
Itame Guenearia,0,1,1
Itame Loricaria,0,13,5
Itame Occiduaria,0,9,5
Itame Ochrifascia,0,1,1
Itame Plumosata,0,2,1
Itame Pustularia,0,13,6
Itame Quadrilinearia,0,4,2
Itame Ribearia,0,7,2
Itame Subcessaria,0,4,1
Itame Sulphurea,0,2,2
Itame Varadaria,0,2,1
Itame Wauaria,0,5,1
Ithome,0.2857142857142857,8,11
Ithome Anthraceuta,0,1,1
Ithome Aquila,0,1,1
Ithome Concolorella,0,5,1
Ithome Curvipunctella,0,1,1
Ithome Edax,0,2,2
Ithome Lassula,0,2,1
Ithome Spp.,0,1,1
Ithomia,0.5,6,9
Ithomisa,0.5,3,4
Iwaruna,1,1,2
Ixala,0,1,1
Ixala Desperaria,0,1,1
Ixias,0.6666666666666666,3,9
Jacoona,1,1,2
Jalmenus,0.2222222222222222,15,12
Jamides,0.5333333333333333,35,71
Jamides Alecto,0,13,4
Jamides Aleuas,0,1,1
Jamides Amarauge,0,1,1
Jamides Bochus,0,31,5
Jamides Caerulea,0,3,3
Jamides Celeno,0,16,7
Jamides Cunilda,0,2,2
Jamides Cyta,0,1,1
Jamides Elpis,0,4,2
Jamides Malaccanus,0,1,1
Jamides Nemophila,0,1,1
Jamides Phaseli,0,3,2
Jamides Pura,0,2,2
Jamides Purpurata,0,1,1
Jamides Talinga,0,2,2
Jana,1,3,4
Jankowskia,0.5,3,4
Janomima,0.5,3,4
Janseodes,1,1,3
Japonica,0.6666666666666666,3,24
Jemadia,0,1,1
Jocara,0.6666666666666666,7,10
Jocara?,0,1,1
Jocheaera,1,1,2
Jodia,0.5,2,3
Jodis,0.7142857142857143,20,36
Jordanita,1,1,2
Jordanita Globulariae,0,2,1
Junonia,0.90625,91,330
Junonia Actia,0,2,1
Junonia Almana,0,31,11
Junonia Andremiaja,0,2,1
Junonia Antilope,0,2,1
Junonia Archesia,0,7,2
Junonia Artaxia,0,1,1
Junonia Atlites,0,18,5
Junonia Ceryne,0,5,2
Junonia Chorimene,0,7,1
Junonia Coenia,0,54,6
Junonia Eurodoce,0,2,1
Junonia Evarete,0,41,9
Junonia Genoveva,0,12,4
Junonia Hedonia,0,5,1
Junonia Hierta,0,15,1
Junonia Iphita,1,8,2
Junonia Lemonias,0,21,6
Junonia Limnoria,0,5,1
Junonia Natalica,0,14,2
Junonia Octavia,0,17,2
Junonia Oenone,0,12,1
Junonia Orithya,0,44,8
Junonia Pelarga,0,3,1
Junonia Rauana,0,2,1
Junonia Rhadama,0,6,1
Junonia Sophia,0,10,2
Junonia Sp.,0,5,3
Junonia Stygia,0,7,1
Junonia Terea,0,10,1
Junonia Tugela,0,6,1
Junonia Villida,0,23,10
Junonia Westermanni,0,10,2
Kallima,1,6,18
Kaniska,0.5,5,15
Kaniska Benguetana?,0,1,1
Kaniska Canace,0,17,4
Karacaoglania,0,1,1
Kaurava,0,1,1
Kedestes,0,6,6
Keiferia,1,3,15
Kennelia,0,1,1
Kermania,0,1,1
Kertomesis,1,2,2
Kessleria,0.6666666666666666,19,36
Khorassania,0,1,1
Kophene,0.6,15,17
Korscheltellus,1,16,25
Koruthaialos,0,1,1
Kotochalia,0.4,16,30
Kricogonia,0.5,2,3
Krombia,0,2,2
Kunugia,0.42857142857142855,18,22
Kurama,1,1,6
Labanda,0.3333333333333333,4,6
Labdia,0.48,49,59
Labedera,0.25,8,11
Lacanobia,0.8333333333333334,107,154
Lacciferophaga,0,1,1
Lacera,0.6666666666666666,8,12
Lachides,0,1,1
Lachnocnema,1,7,13
Lachnoptera,1,4,6
Lacinipolia,0.6666666666666666,65,87
Lacosoma,0.3333333333333333,3,10
Lactura,0.4,6,7
Ladoga,1,1,11
