taxa,prop_generalist,n_host_families,n_host_species
Acleris Variana,0,21,4
Acleris Variegana,0,24,7
Acleris Walkerana,0,2,2
Acleris Yasudai,0,1,1
Acleris Zimmermani,0,1,1
Acleros,1,2,2
Acoloithus,1,1,3
Acolutha,0,1,1
Acompsia,0.3333333333333333,4,4
Acontia,0.5769230769230769,40,50
Acosmeryx,1,14,21
Acossus,0,2,2
Acraea,0.5454545454545454,134,205
Acraga,0.5,6,6
Acratodes,0,1,1
Acratodes Suavata,0,1,1
Acridotarsa,0,1,1
Acripia,1,1,2
Acritocera,1,1,2
Acrobasis,0.5178571428571429,69,149
Acrobasopsis,0,1,1
Acrocercops,0.42777777777777776,234,358
Acroclita,0.3333333333333333,17,23
Acroclita?,0,1,1
Acrodipsas,0,3,3
Acrodontis,0.5,2,4
Acrolepia,0.2222222222222222,19,25
Acrolepiopsis,1,4,11
Acronicta,0.7792207792207793,358,697
Acrophtalmia,1,1,3
Acropolitis,0.3333333333333333,5,5
Acropteris,0,1,1
Actebia,1,30,54
Actias,0.8888888888888888,63,117
Actinote,0.5833333333333334,19,35
Actinotia,0.5,3,3
Actizera,0.6666666666666666,7,12
Actrix,0,2,2
Acytolepis,1,14,28
Adaina,0.42857142857142855,8,14
Addaea,0.5,5,7
Addyme,0,2,2
Adela,0.14285714285714285,8,9
Adeloneivaia,0.5,7,11
Adelowalkeria,1,3,4
Adelpha,0.5333333333333333,39,70
Adelphagrotis,1,7,9
Adelpherupa,0,1,1
Adelphia,0.5,4,6
Adenoneura,0.16666666666666666,7,7
Adetomeris,1,6,7
Adhemarius,0,1,1
Adicocrita,0,1,1
Adisura,0.3333333333333333,5,7
Adita,1,2,4
Admetovis,0,1,1
Adoneta,1,2,3
Adoxophyes,0.5714285714285714,132,188
Adoxophyes?,1,2,2
Adris,0,1,1
Adscita,0.5,2,3
Aedia,0.5,5,10
Aedophron,0,1,1
Aegiale,0,1,1
Aegilia,0,1,1
Aegocera,1,5,5
Aegoceropsis,0.5,8,10
Aellopos,0.75,6,14
Aemona,0,1,1
Aenetus,0.6363636363636364,39,51
Aeolochroma,0.5,2,3
Aeologramma,1,1,3
Aeria,1,1,2
Aeromachus,0,2,2
Aeropetes,1,1,2
Aeschropteryx,0,1,1
Aethaloessa,0,2,2
Aethaloida,0,1,1
Aethalura,0.6666666666666666,12,19
Aetheria,1,1,5
Aethes,0.41379310344827586,31,59
Aethesoides,0,3,3
Aethesoides Distigmatana Or Nr.,0,1,1
Aethesoides Distigmatana?,0,1,1
Aethesoides Nr. Distigmatana,0,1,1
Aethiopana,0,1,1
Aethiopsestis,1,1,2
Aetholix,1,5,7
Afrobirthama,0,1,1
Afronarosa,1,3,3
Agalope,1,1,2
Aganais,1,3,8
Aganoptila,0,1,1
Agape,0,1,1
Agapeta,0.6666666666666666,6,11
Agaraeus,0,1,1
Agarista,1,1,3
Agassiziella,1,2,2
Agatasa,0,1,1
Agathia,0.5,10,21
Agathiphaga,0.5,2,4
Agathodes,0.5,17,28
Agathodes Caliginosalis,0,2,2
Agathodes Designalis,0,12,5
Agathodes Modicalis,0,1,1
Agathodes Monstralis,0,1,1
Agathodes Musivalis,0,3,1
Agathodes Ostentalis,0,7,2
Agathodes Thomensis,0,1,1
Agathymus,0.4444444444444444,9,15
Agavenema,0,2,2
Agdistis,0.42857142857142855,18,25
Agdistopis,0,4,3
Agdistopis Halieutica,0,1,1
Aglais,0.5,7,10
Aglaope,1,4,11
Aglaopus,0.5,3,3
Aglia,1,11,30
Aglossa,0.5,12,12
Aglossodes,0,1,1
Agnidra,1,1,5
Agnippe,0,2,2
Agnorisma,0.5,11,12
Agnosia,0.5,2,3
Agoma,1,1,3
Agorarcha,0,1,1
Agrapha,0.875,25,42
Agraulis,1,3,44
Agriades,0.5,11,15
Agrias,0.5,3,3
Agrioglypta,0.25,4,6
Agrioglypta?,0,1,1
Agriopis,1,10,19
Agriopodes,1,2,2
Agriothera,0,1,1
Agriphila,0.875,10,21
Agrius,0.6666666666666666,18,51
Agrius Cingulata,0,16,4
Agrius Convolvuli,0,46,13
Agrius Cordiae,0,1,1
Agrochola,0.6153846153846154,42,58
Agrodiaetus,0.05263157894736842,20,21
Agrotera,0.6,21,32
Agrotera Basinotata,0,9,5
Agrotera Coelatalis,0,4,2
Agrotera Nemoralis,0,9,4
Agrotera Posticalis,0,3,1
Agrotera Scissalis,0,3,1
Agrotera Sp.,0,1,1
Agrotis,0.7,232,387
Aguna,0.6666666666666666,10,12
Ahlbergia,1,1,2
Ahmosia,0,1,1
Aides,0.3333333333333333,3,5
Aiteta,0.375,9,11
Alabama,1,3,8
Alaena,0.1111111111111111,15,10
Alarodia,0.3333333333333333,7,8
Alatuncusia,0,1,1
Albara,0,1,1
Alberada,0.5,2,3
Albinospila,0,1,1
Albulina,0,1,1
Alcides,1,1,2
Alcis,0.5,19,32
