pair_id,dataset,taxa_left,taxa_right,dN_left,dN_right,dS_left,dS_right,level_left,level_right,n_species_left,n_species_right,n_host_record_left,n_host_record_right,prop_generalist_left,prop_generalist_right,n_host_families_left,n_host_families_right,n_host_species_left,n_host_species_right,taxa_size_left,taxa_size_right,label,sign,weight,dN_contrast,dS_contrast,n_host_species_contrast,n_species_contrast,n_host_families_contrast,prop_generalist_contrast
78,genera,Paratisiphone,Tisiphone,-5.38540147345515,-5.547548252625565,-1.820862895169127,-1.758790952694317,genus,genus,0,0.6931471805599453,1,2,0,1.5707963267948966,0,1.0986122886681098,0,1.791759469228055,1,2,Paratisiphone - Tisiphone,-1,NA,-0.1621467791704152,0.06207194247480996,1.791759469228055,0.6931471805599453,1.0986122886681098,1.5707963267948966
7,family,Adelidae,Prodoxidae,-3.0413783854397383,-3.1985831216004383,0.2083506742376779,-0.012396520336551293,family,family,5.877735781779639,3.4339872044851463,16,19,0.5843738968484469,0.6234926557606733,3.2188758248682006,3.828641396489095,3.4965075614664802,4.634728988229636,357,31,Adelidae - Prodoxidae,1,12.35800580080846,0.15720473616070008,0.22074719457422917,-1.1382214267631556,2.4437485772944925,-0.6097655716208945,-0.03911875891222638
9,family,Plutellidae,Yponomeutidae,-3.2784666062818384,-3.365984689906413,-0.17441053163463582,-0.16617501661127462,family,family,4.543294782270004,5.869296913133774,13,97,NA,0.7042034551600133,NA,6.0112671744041615,NA,6.565264970035361,94,354,Plutellidae - Yponomeutidae,-1,13.422252980804961,-0.08751808362457458,0.0082355150233612,NA,1.3260021308637704,NA,NA
11,family,Urodidae,Choreutidae,-2.9848121161050005,-3.066111820316572,0.3458262086411192,0.31524130406825795,family,family,4.0943445622221,5.886104031450156,1,26,0.9553166181245093,0.7353144528166684,1.9459101490553132,4.30406509320417,2.1972245773362196,4.8283137373023015,60,360,Urodidae - Choreutidae,-1,0.9654530409598677,-0.08129970421157129,-0.030584904572861227,2.631089159966082,1.7917594692280554,2.3581549441488567,-0.2200021653078409
12,family,Tortricidae,Immidae,-3.1912363390647833,-3.180424638493948,-6.882367806096238e-4,0.006738246937562668,family,family,9.133675287040697,5.4680601411351315,1445,15,0.7952123362618154,0.30627736916966947,8.41316512099219,3.367295829986474,8.9005490139363,3.367295829986474,9262,237,Tortricidae - Immidae,1,15.798786414593202,-0.01081170057083547,-0.007426483718172292,5.533253183949826,3.6656151459055657,5.045869291005715,0.48893496709214596
13,family,Lacturidae,Zygaenidae,-3.2490000369237526,-3.113345323658737,-0.004637737699526843,0.019644771700385748,family,family,4.07753744390572,7.490529402060711,1,69,0.5235987755982989,0.7672123358171423,2.1972245773362196,5.187385805840755,2.302585092994046,5.594711379601839,59,1791,Lacturidae - Zygaenidae,-1,0.9862495208892296,0.13565471326501566,0.02428250939991259,3.292126286607793,3.4129919581549917,2.9901612285045354,0.2436135602188434
14,family,Dalceridae,Limacodidae,-3.0513295536564007,-3.34282470533738,0.39455312167912426,0.09812893066355372,family,family,4.3694478524670215,7.261927092702751,7,218,1.0068536854342678,0.883731983267627,2.9444389791664403,7.010311867307229,2.995732273553991,7.293697720601438,79,1425,Dalceridae - Limacodidae,-1,7.366142714733504,-0.29149515168097917,-0.29642419101557055,4.2979654470474475,2.8924792402357298,4.065872888140789,-0.12312170216664076
15,family,Hesperiidae,Hedylidae,-3.2790638232685136,-3.391935406483284,-0.049062101140938834,-0.21764432481586707,family,family,8.49596955496461,3.4965075614664802,601,5,0.8214974096843117,0,6.862757913051401,1.791759469228055,7.693937325509272,1.791759469228055,4895,33,Hesperiidae - Hedylidae,1,5.667009845180475,0.11287158321477042,0.16858222367492823,5.902177856281217,4.99946199349813,5.0709984438233455,0.8214974096843117
16,family,Lycaenidae,Riodinidae,-3.2090863980485014,-3.2361873076430903,0.1805228567691914,-0.02542345459033705,family,family,9.173157580848466,7.717796211013582,919,35,0.758099473489021,NA,7.8868329989550565,NA,8.367764677924308,NA,9635,2248,Lycaenidae - Riodinidae,1,34.336462445874375,0.027100909594588884,0.20594631135952843,NA,1.4553613698348844,NA,NA
17,family,Autostichidae,Cosmopterigidae,-3.4131889945145333,-3.652933327340467,-0.21106800508433615,-0.3555512897603234,family,family,4.969813299576001,7.405495663199472,1,180,NA,0.5868081206190167,NA,6.222576268071369,NA,6.501289670540389,144,1645,Autostichidae - Cosmopterigidae,-1,0.9950737259781092,-0.23974433282593388,-0.14448328467598726,NA,2.4356823636234717,NA,NA
18,family,Pterophoridae,Alucitidae,-2.9411115212997347,-3.0435788830112105,0.19729226772377614,0.1097248779584036,family,family,6.945051063725834,5.123963979403259,148,12,0.696468500040835,0.7853981633974484,5.8971538676367405,3.091042453358316,6.326149473155099,3.367295829986474,1038,168,Pterophoridae - Alucitidae,1,11.955535404591247,0.10246736171147575,0.08756738976537254,2.958853643168625,1.821087084322575,2.8061114142784245,-0.08892966335661334
19,family,Thyrididae,Callidulidae,-3.320133656942428,-3.2237878692292212,0.20856581049485262,0.035492618590487836,family,family,6.76849321164863,3.9889840465642745,60,0,0.7609982362121172,0,4.882801922586371,0.6931471805599453,5.214935757608986,0.6931471805599453,870,54,Thyrididae - Callidulidae,1,0,-0.09634578771320657,0.1730731919043648,4.5217885770490405,2.779509165084355,4.189654742026425,0.7609982362121172
20,family,Crambidae,Pyralidae,-3.0349253870881454,-3.1744642804974124,-0.08371726309069066,0.02539212397278842,family,family,9.202106567049078,8.655737000864297,720,586,NA,0.7449500205763994,NA,8.070906088787819,NA,8.57866451350434,9918,5743,Crambidae - Pyralidae,1,354.5070362971076,0.13953889340926695,-0.10910938706347909,NA,0.5463695661847812,NA,NA
21,family,Drepanidae,Doidae,-3.5256048102402158,-3.171706020391811,-0.36485689643783437,0.0028050621320904108,family,family,6.8308742346461795,1.9459101490553132,73,0,0.8148269163709889,NA,4.787491742782046,NA,5.484796933490655,NA,926,7,Drepanidae - Doidae,1,0,-0.35389878984840495,-0.3676619585699248,NA,4.884964085590866,NA,NA
22,family,Nolidae,Euteliidae,-3.2879311983083586,-3.724465181838945,-0.15929237571947344,-0.43533479867047525,family,family,5.288267030694535,6.1675164908883415,27,56,0.738862607372836,NA,6.1463292576688975,NA,6.645090969505644,NA,198,477,Nolidae - Euteliidae,-1,20.858225149779884,-0.4365339835305866,-0.2760424229510018,NA,0.8792494601938063,NA,NA
