Family,Genus,Species,Host_family,Host_name
Hesperiidae,Pyrgus,Pyrgus communis,Malvaceae,Sida rhombifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Agrimonia eupatoria
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Alchemilla
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Filipendula ulmaria
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Fragaria vesca
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Potentilla anserina
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Potentilla palustris
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Rubus idaeus
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Rubus saxatilis
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Fragaria vesca
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Potentilla anserina
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Potentilla erecta
,,,,
Hesperiidae,Pyrgus,Pyrgus malvae,Rosaceae,Potentilla reptans
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Abutilon
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Althaea
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Malva
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Malvastrum
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida acuta
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida acuta
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida acuta
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida antillensis
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida rhombifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida rhombifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida salviifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida salviifolia
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Abelmoschus esculentus
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Alcea rosea
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Malva parviflora
,,,,
Hesperiidae,Pyrgus,Pyrgus oileus,Malvaceae,Sida rhombifolia
,,,,
