Genus,Name_data
ZEUZERA,ramosa Schaus 1892 - Valid Name
,
ZEUZERA,ramuscula Dyar 1906 - Valid Name
,
ZEUZERA,recticulata Joicey & Talbot 1916 - Valid Name
,
ZEUZERA,roxana Druce 1911 - Valid Name
,
ZEUZERA,tigrina Herrich-Schäffer 1853 - Valid Name
,
ZEUZERA,undulosa Druce 1911 - Valid Name
,
ZEUZERA,yuennani Daniel 1940 - Valid Name
,
ZEUZERA,* LATAGIA Hübner [1820] - Junior subjective synonym
,
ZEUZERA,* ZENZERA Latreille [1805] - Incorrect subsequent spelling
,
ZEUZERA,* ZENZERA Moore 1879 - Incorrect subsequent spelling
,
ZEUZERA,* ZENZERA Butler 1881 - Incorrect subsequent spelling
,
ZEUZERA,* ZEUCERA Spuler 1910 - Incorrect subsequent spelling
,
ZEUZERA,* ZEUGZERA Stichel 1918-1919 - Incorrect subsequent spelling
,
ZEUZERA,biebingeri Speidel & Speidel 1986 - Valid Name
,
ZEUZERA,* bibingeri Lewandowski & Fischer 2002 - Incorrect subsequent spelling
,
ZEUZERA,leuconota Butler 1881 - Valid Name
,
ZEUZERA,* multistrigaria Swinhoe 1895 - Incorrect subsequent spelling
,
ZEUZERA,* aesculi Linnaeus 1767 - Junior subjective synonym
,
ZEUZERA,* conflua Schultz 1905 - Unavailable name: Infrasubspecific name
,
ZEUZERA,* confluens Cockayne 1955 - Unavailable name: Infrasubspecific name
,
ZEUZERA,* esculi Staudinger 1895 - Incorrect subsequent spelling
,
ZEUZERA,* hilaris Geoffroy 1785 - Junior subjective synonym
,
ZEUZERA,* hypocastani Poda 1761 - Junior subjective synonym
,
ZEUZERA,* hypocastrina Dyar 1902 - Incorrect subsequent spelling
,
ZEUZERA,* marginestriata Lempke 1961 - Unavailable name: Infrasubspecific name
,
ZEUZERA,* octopunctata Boisduval [1841] - Junior subjective synonym
,
ZEUZERA,* paulomaculata Stichel 1918 - Unavailable name: Infrasubspecific name
,
ZEUZERA,* pirina Staudinger 1879 - Incorrect subsequent spelling
,
ZEUZERA,* pyrinia El-Hariri 1968 - Incorrect subsequent spelling
,
ZEUZERA,* yprina Stichel 1918 - Incorrect subsequent spelling
,
ZEUZERA,"qinensis Hua, Chou, Fang & Chen 1990 - Valid Name"
,
ATARNES,ATARNES Godman & Salvin 1897 - Valid Name
,
ATARNES,hierax Hopffer 1874 - Valid Name
,
ATARNES,* servatius Plötz 1884 - Junior subjective synonym
,
