dataset,pair_id,taxa,sequence_id,alignment_length,n_loci
genera,66,Outgroup,NW88_14_Byblia_anvatara,12447,7
genera,67,Batesia,NW109_5_Batesia_hypochlora,14058,7
genera,67,Panacea,NW109_8_Panacea_regina,14058,7
genera,67,Outgroup,NW114_3_Ectima_thecla,14058,7
genera,68,Sevenia,NW88_15_Sevenia_boisduvali,12330,7
genera,68,Eunica,bb19_Eunica_bechina,12330,7
genera,68,Outgroup,NW119_3_Paulogramma_tolima,12330,7
genera,69,Diaethria,NW126_29_Diaethria_clymena,12627,7
genera,69,Perisama,bb40_Perisama_cabirnia,12627,7
genera,69,Outgroup,NW119_3_Paulogramma_tolima,12627,7
genera,70,Chersonesia,NW106_16_Chersonesia_rahria,13653,7
genera,70,Cyrestis,NW100_11_Cyrestis_thyodamas,13653,7
genera,70,Outgroup,NW152_12_Marpesia_eleuchea,13653,7
genera,71,Symbrenthia,NW97_3_Symbrenthia_lilaea,12789,7
genera,71,Mynes,NW161_5_Mynes_katharina,12789,7
genera,71,Outgroup,NW160_3_Araschnia_levana,12789,7
genera,72,Nymphalis,NW62_2_Nymphalis_polychloros,13977,7
genera,72,Kaniska,NW164_1_Kaniska_canace,13977,7
genera,72,Outgroup,NW65_6_Polygonia_comma,13977,7
genera,73,Metamorpha,NW87_2_Metamorpha_elissa,13239,7
genera,73,Anartia,NW68_5_Anartia_amathea,13239,7
genera,73,Outgroup,NW69_5_Siproeta_stelenes,13239,7
genera,74,Anetia,NW152_6_Anetia_briarea,15075,7
genera,74,Lycorea,NW122_19_Lycorea_halia,15075,7
genera,74,Outgroup,NW70_8_Euploea_camaralzeman,15075,7
genera,75,Idea,NW84_14_Idea_leuconoe,14391,7
genera,75,Euploea,NW70_8_Euploea_camaralzeman,14391,7
genera,75,Outgroup,NW86_5_Amauris_ellioti,14391,7
genera,76,Caerois,CP09_56_Caerois_chorinaeus,13302,7
genera,76,Morpho,NW66_5_Morpho_helenor,13302,7
genera,76,Outgroup,NW126_3_Opoptera_syme,13302,7
genera,77,Amathusia,NW114_17_Amathusia_phidippus,13671,7
genera,77,Amathuxidia,NW111_14_Amathuxidia_amythaon,13671,7
genera,77,Outgroup,NW106_10_Zethera_incerta,13671,7
genera,78,Paratisiphone,NW162_1_Paratisiphone_lyrnessa,12474,7
genera,78,Tisiphone,NW124_21_Tisiphone_abeona,12474,7
genera,78,Outgroup,EW10_4_Heteronympha_merope,12474,7
family,1,Helicopsychidae,Trichoptera_Helicopsychidae_Helicopsyche_borealis,921009,1570
family,1,Leptoceridae,Trichoptera_Leptoceridae_Leptocerinae_Nectopsyche_candida,921009,1570
family,1,Outgroup,Trichoptera_Phryganeidae_Phryganeinae_Ptilostomis_semifasciata,921009,1570
family,2,Stenopsychidae,Trichoptera_Stenopsychidae_Stenopsychodes_sp,729312,1383
family,2,Philopotamidae,Trichoptera_Philopotamidae_Philopotaminae_Philopotamus,729312,1383
family,2,Outgroup,Trichoptera_Psychomyiidae_Psychomyiinae_Psychomyia_flavida,729312,1383
family,3,Polycentropodidae,Trichoptera_Polycentropodidae_Polycentropodinae_Plectrocnemia_sp,833106,1492
family,3,Psychomyiidae,Trichoptera_Psychomyiidae_Psychomyiinae_Psychomyia_flavida,833106,1492
family,3,Outgroup,Trichoptera_Stenopsychidae_Stenopsychodes_sp,833106,1492
family,4,Acanthopteroctetidae,Neopseustoidea_Acanthopteroctetidae_Acanthopteroctetes_unifascia_Aca4,226482,803
family,4,Neopseustidae,Neopseustoidea_Neopseustidae_Neopseustinae_Neopseustis_meyricki_RINSinlTEERAAPEI__79,226482,803
family,4,Outgroup,Eriocranioidea_Eriocraniidae_Dyseriocrania_subpurpurella_INSbusTBDRAAPEI__79,226482,803
family,5,Hepialidae,Hepialoidea_Hepialidae_Phymatopus_californicus_Phm,693825,1640
family,5,Lophocoronidae,Lophocoronoidea_Lophocoronidae_Lophocorona_astipica_Loas,693825,1640
family,5,Outgroup,Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX,693825,1640
family,6,Nepticulidae,Nepticuloidea_Nepticulidae_Nepticulinae_Stigmella_atricapitella_ANIsrmTAAWRAAPEI__225,100857,297
family,6,Opostegidae,Nepticuloidea_Opostegidae_Oposteginae_Pseudopostega_cf.quadristrigella_Pqd,100857,297
family,6,Outgroup,Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX,100857,297
family,7,Adelidae,Adeloidea_Adelidae_Adelinae_Nemophora_degeerella_INShauTABRAAPEI__93,281691,929
family,7,Prodoxidae,Adeloidea_Prodoxidae_Tegeticula_yuccasella_Tyu4,281691,929
family,7,Outgroup,Andesianoidea_Andesianidae_Andesiana_lamellata_RINSinlTEARAAPEI__62,281691,929
family,8,Tineidae,Tineoidea_Tineidae_Tineinae_Tineola_bisselliella_INSswpTACRAAPEI__13,1712559,2020
family,8,Dryadaulidae,Tineoidea_Dryadaulidae_Dryadaula_visaliella_Dry,1712559,2020
family,8,Outgroup,Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX,1712559,2020
family,9,Plutellidae,Yponomeutoidea_Plutellidae_Plutella_xylostella,389118,1012
family,9,Yponomeutidae,Yponomeutoidea_Yponomeutidae_Yponomeutinae_Yponomeuta_evonymellus_INShauTBFRAAPEI__34,389118,1012
family,9,Outgroup,Gracillarioidea_Roeslerstammiidae_Amphithera_heteroleuca_INSpmbTAHRAAPEI__206,389118,1012
family,10,Bucculatricidae,Gracillarioidea_Bucculatricidae_Bucculatrix_cristatella_ANIsrmTAASRAAPEI__220,211947,716
family,10,Lyonetiidae,Yponomeutoidea_Lyonetiidae_Cemiostominae_Leucoptera_coffeella_RINysjTAAAARAAPEI__214,211947,716
family,10,Outgroup,Gracillarioidea_Gracillariidae_Acrocercopinae_Acrocercops_transecta,211947,716
family,11,Urodidae,Urodoidea_Urodidae_Urodus_decens_Ur2,1260456,1789
family,11,Choreutidae,Choreutoidea_Choreutidae_Choreutinae_Hemerophila_diva_Cor5,1260456,1789
family,11,Outgroup,Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX,1260456,1789
family,12,Tortricidae,Tortricoidea_Tortricidae_Olethreutinae_Phaecasiophora_niveiguttana_Cro,1845501,2036
family,12,Immidae,Immoidea_Immidae_Imma_tetrascia_Imm,1845501,2036
family,12,Outgroup,Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX,1845501,2036
family,13,Lacturidae,Zygaenoidea_Lacturidae_Lactura_subfervens_Sub,1378887,1918
family,13,Zygaenidae,Zygaenoidea_Zygaenidae_Zygaeninae_Zygaena_fausta_INSjdsTAWRAAPEI__39,1378887,1918
family,13,Outgroup,Zygaenoidea_Limacodidae_Demonarosa_rufotessellata_RINSinlTDXRAAPEI__56,1378887,1918
family,14,Dalceridae,Zygaenoidea_Dalceridae_Dalcerinae_Dalcera_abrasa_FG120035,1134189,1711
family,14,Limacodidae,Zygaenoidea_Limacodidae_Demonarosa_rufotessellata_RINSinlTDXRAAPEI__56,1134189,1711
family,14,Outgroup,Zygaenoidea_Megalopygidae_Megalopyge_crispata_Lag,1134189,1711
family,15,Hesperiidae,Papilionoidea_Hesperiidae_Hesperiinae_Thymelicus_sylvestris,1073286,1694
family,15,Hesperiidae,Papilionoidea_Hesperiidae_Hesperiinae_Lerema_accius,1073286,1694
family,15,Hedylidae,Papilionoidea_Hedylidae_Macrosoma_sp_RINSinlTEBRAAPEI__71,1073286,1694
family,15,Hedylidae,Papilionoidea_Hedylidae_Macrosoma_sp_FG120122,1073286,1694
family,15,Outgroup,Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX,1073286,1694
family,16,Lycaenidae,Papilionoidea_Lycaenidae_Aphnaeinae_Cigaritis_takanonis_Papilionoidea,1534908,1998
family,16,Lycaenidae,Papilionoidea_Lycaenidae_Polyommatinae_Polyommatus_icarus_INShauTBGRAAPEI__35,1534908,1998
family,16,Riodinidae,Papilionoidea_Riodinidae_Riodininae_Mycastor_nealces_INSerlTBMRAAPEI__57,1534908,1998
family,16,Riodinidae,Papilionoidea_Riodinidae_Riodininae_Semomesia_capanea_FG120077,1534908,1998
family,16,Outgroup,Papilionoidea_Nymphalidae_Danainae_Danaus_plexippus_DPLEX,1534908,1998
family,17,Autostichidae,Gelechioidea_Autostichidae_Autostichinae_Autosticha_sp_RINSinlTDTRAAPEI__41,808026,1376
family,17,Cosmopterigidae,Gelechioidea_Cosmopterigidae_Cosmopteriginae_Hyposmocoma_kahamanoa_RINysjTAAABRAAPEI__215,808026,1376
family,17,Outgroup,Gelechioidea_Gelechiidae_Dichomeridinae_Dichomeris_punctidiscella_Dch,808026,1376
family,18,Pterophoridae,Pterophoroidea_Pterophoridae_Pterophorinae_Emmelina_monodactyla_Emm,1384476,1841
family,18,Alucitidae,Alucitoidea_Alucitidae_Alucita_desmodactyla_ANIsrmTAAORAAPEI__215,1384476,1841
family,18,Outgroup,Thyridoidea_Thyrididae_Striglinae_Striglina_suzukii_Ssk,1384476,1841
family,19,Thyrididae,Thyridoidea_Thyrididae_Striglinae_Striglina_suzukii_Ssk,960603,1504
family,19,Callidulidae,Calliduloidea_Callidulidae_Callidulinae_Pterodecta_felderi_INSerlTABRAAPEI__84,960603,1504
family,19,Outgroup,Pterophoroidea_Pterophoridae_Pterophorinae_Emmelina_monodactyla_Emm,960603,1504
family,20,Crambidae,Pyraloidea_Crambidae_Crambinae_Catoptria_oregonicus_Cr4,2089881,2097
family,20,Crambidae,Pyraloidea_Crambidae_Crambinae_Catoptria_falsella_INSlupTAXRAAPEI__11,2089881,2097
family,20,Crambidae,Pyraloidea_Crambidae_Spilomelinae_Cnaphalocrocis_medinalis_SRR64791,2089881,2097
family,20,Pyralidae,Pyraloidea_Pyralidae_Galleriinae_Galleria_melonella_Gal,2089881,2097
family,20,Pyralidae,Pyraloidea_Pyralidae_Amyelois_transitella_Pyraloidea,2089881,2097
family,20,Pyralidae,Pyraloidea_Pyralidae_Phycitinae_Plodia_interpunctella,2089881,2097
family,20,Outgroup,Bombycoidea_Bombycidae_Bombyx_mori_BMORI,2089881,2097
family,21,Drepanidae,Drepanoidea_Drepanidae_Thyatirinae_Pseudothyatira_cymatophoroides_Pc,1753647,2007
family,21,Doidae,Drepanoidea_Doidae_Doa_sp_Do2,1753647,2007
family,21,Outgroup,Drepanoidea_Cimeliidae_Axia_margarita_Ax,1753647,2007
family,22,Nolidae,Noctuoidea_Nolidae_Nolinae_Manoba_major_SW130224,609900,1298
family,22,Euteliidae,Noctuoidea_Euteliidae_Anigraea_sp_SW130103,609900,1298
family,22,Outgroup,Noctuoidea_Noctuidae_Noctuinae_Spodoptera_frugiperda,609900,1298
family,23,Epicopeiidae,Geometroidea_Epicopeiidae_Epicopeia_hainseii_Epc3,1524576,1953
family,23,Sematuridae,Geometroidea_Sematuridae_Sematurinae_Mania_lunus_INSerlTAWRABPEI__19,1524576,1953
family,23,Outgroup,Geometroidea_Geometridae_Geometrinae_Chlorosea_margaretaria_Chl,1524576,1953
family,24,Geometridae,Geometroidea_Geometridae_Geometrinae_Chlorosea_margaretaria_Chl,1815552,2048
family,24,Geometridae,Geometroidea_Geometridae_Ennominae_Biston_betularia_Bb,1815552,2048
family,24,Uraniidae,Geometroidea_Uraniidae_Uraniinae_Lyssa_zampa_RINSinlTDLRAAPEI__126,1815552,2048
family,24,Uraniidae,Geometroidea_Uraniidae_Epipleminae_Calledapteryx_dryopterata_Cal,1815552,2048
family,24,Outgroup,Geometroidea_Epicopeiidae_Epicopeia_hainseii_Epc3,1815552,2048
family,25,Eupterotidae,Bombycoidea_Eupterotidae_Eupterotinae_Ganisa_similis_RINSinlTDMRAAPEI__136,474765,1046
family,25,Brahmaeidae,Bombycoidea_Brahmaeidae_Brahmaea_hearseyi_RINSinlTDQRAAPEI__35,474765,1046
family,25,Outgroup,Bombycoidea_Bombycidae_Apatelodes_pithala_FG120036B,474765,1046
family,26,Sphingidae,Bombycoidea_Sphingidae_Sphinginae_Sphinx_pinastri_INShauTAZRAAPEI__20,1999593,2094
family,26,Sphingidae,Bombycoidea_Sphingidae_Macroglossinae_Darapsa_myron_Dara,1999593,2094
family,26,Sphingidae,Bombycoidea_Sphingidae_Sphinginae_Ceratomia_undulosa_cunda3,1999593,2094
family,26,Sphingidae,Bombycoidea_Sphingidae_Smerinthinae_Adhemarius_daphne_FG120049B,1999593,2094
family,26,Sphingidae,Bombycoidea_Sphingidae_Macroglossinae_Enyo_lugubris_elug1,1999593,2094
family,26,Saturniidae,Bombycoidea_Saturniidae_Oxyteninae_Therinia_lactucina_FG120016,1999593,2094
family,26,Saturniidae,Bombycoidea_Saturniidae_Ceratocampinae_Eacles_sp_FG120096B,1999593,2094
family,26,Saturniidae,Bombycoidea_Saturniidae_Saturniinae_Attacus_atlas_Attac,1999593,2094
family,26,Saturniidae,Bombycoidea_Saturniidae_Saturniinae_Saturnia_pyri_INShkeTACRAAPEI__87,1999593,2094
family,26,Saturniidae,Bombycoidea_Saturniidae_Saturniinae_Actias_luna_acti2,1999593,2094
family,26,Outgroup,Bombycoidea_Bombycidae_Bombyx_mori_BMORI,1999593,2094
